0,Hombre,43,Otro tipo de hogar,Vivienda con jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,-0.5,-0.5,1.0,0.5,1.0,1.0,1.0,0.0
1,Mujer,56,Otro tipo de hogar,Vivienda con jardín +80m2,Activo,No,Entre 3.001 € – 4.500 €,0.5,-0.5,0.5,-1.0,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5
2,Mujer,30,Pareja con hijos,Vivienda sin jardín +80m2,Activo,No,Entre 3.001 € – 4.500 €,0.0,0.0,-1.0,-1.0,0.5,0.0,1.0,1.0,-0.5,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0
3,Hombre,47,Hogar unipersonal,Vivienda sin jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,-1.0,1.0,-1.0,-1.0,-1.0,0.5,0.0,-0.5,-1.0,-1.0,-1.0,-0.5,0.5,1.0,1.0,1.0,1.0
4,Hombre,47,Hogar unipersonal,Vivienda sin jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,-1.0,1.0,-1.0,-1.0,-1.0,0.5,0.0,-0.5,-1.0,-1.0,-1.0,-0.5,0.5,1.0,1.0,1.0,1.0
5,Hombre,47,Hogar unipersonal,Vivienda sin jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,-1.0,1.0,-1.0,-1.0,-1.0,0.5,0.0,-0.5,-1.0,-1.0,-1.0,-0.5,0.5,1.0,1.0,1.0,1.0
6,Hombre,44,Pareja con hijos menores,Vivienda sin jardín +80m2,Activo,No,Más de 6.001 €,1.0,0.5,1.0,-1.0,0.5,0.5,1.0,0.0,1.0,1.0,-0.5,0.5,-0.5,1.0,1.0,0.0,0.0
7,Hombre,49,Otro tipo de hogar,Vivienda sin jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,1.0,1.0,1.0,-0.5,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.5,-0.5,1.0,-0.5,1.0,0.0
8,Mujer,38,Otro tipo de hogar,Vivienda sin jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,-1.0,-1.0,0.0,-1.0,0.5,1.0,1.0,1.0,0.0,0.5,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
9,Hombre,55,Pareja con hijos,Vivienda con jardín +80m2,Activo,No,Entre 1.000 € – 1.500 €,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0
10,Mujer,45,Otro tipo de hogar,Vivienda con jardín +80m2,Activo,Si,Entre 1.501 € – 3.000 €,-0.5,0.5,-0.5,-1.0,0.5,0.5,1.0,0.0,0.5,0.5,-0.5,0.0,0.5,1.0,1.0,1.0,0.5
11,Hombre,54,Otro tipo de hogar,Vivienda con jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0
12,Mujer,48,Otro tipo de hogar,Vivienda con jardín +80m2,Activo,Si,Entre 1.501 € – 3.000 €,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0
13,Hombre,25,Hogar unipersonal,Vivienda sin jardín +80m2,Activo,No,"Menos de 1,000€",1.0,-0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.5,0.0,-0.5,1.0,1.0,1.0,0.5
14,Mujer,31,Otro tipo de hogar,Vivienda sin jardín +80m2,Activo,Si,Entre 1.501 € – 3.000 €,1.0,0.0,-1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,-1.0,0.0,-0.5,1.0,1.0,1.0,0.5
15,Hombre,42,Otro tipo de hogar,Vivienda sin jardín -80m2,Activo,Si,Entre 1.000 € – 1.500 €,0.0,0.0,-0.5,-1.0,0.5,1.0,1.0,1.0,0.0,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,0.0
16,Mujer,51,Otro tipo de hogar,Vivienda sin jardín +80m2,Activo,No,Entre 1.501 € – 3.000 €,-1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0
